symbol,name
E5H.SI,Golden Agri-Resources Ltd
F34.SI,Wilmar International Limited
BN4.SI,Keppel Corporation Limited
S58.SI,SATS Ltd.
C6L.SI,Singapore Airlines Limited
S63.SI,Singapore Technologies Engineering Ltd
Z74.SI,Singapore Telecommunications Limited
C09.SI,City Developments Limited
J37.SI,Jardine Strategic Holdings Limited
Y92.SI,Thai Beverage Public Company Limited
U14.SI,UOL Group Limited
H78.SI,Hongkong Land Holdings Limited
C52.SI,ComfortDelGro Corporation Limited
U96.SI,Sembcorp Industries Ltd
T39.SI,Singapore Press Holdings Limited
C61U.SI,CapitaLand Commercial Trust
J36.SI,Jardine Matheson Holdings Limited
G13.SI,Genting Singapore Limited
S68.SI,Singapore Exchange Limited
D05.SI,DBS Group Holdings Ltd
N2IU.SI,Mapletree Commercial Trust
C31.SI,CapitaLand Limited
O39.SI,Oversea-Chinese Banking Corporation Limited
A17U.SI,Ascendas Real Estate Investment Trust
C38U.SI,CapitaLand Mall Trust
D01.SI,Dairy Farm International Holdings Limited
U11.SI,United Overseas Bank Limited
BS6.SI,Yangzijiang Shipbuilding (Holdings) Ltd.
C07.SI,Jardine Cycle & Carriage Limited
V03.SI,Venture Corporation Limited
JNJ,Johnson & Johnson
TRV,"The Travelers Companies, Inc."
NKE,"NIKE, Inc."
MMM,3M Company
UTX,United Technologies Corporation
MRK,"Merck & Co., Inc."
DIS,The Walt Disney Company
MCD,McDonald's Corporation
INTC,Intel Corporation
WMT,Walmart Inc.
GS,"The Goldman Sachs Group, Inc."
KO,The Coca-Cola Company
PFE,Pfizer Inc.
VZ,Verizon Communications Inc.
UNH,UnitedHealth Group Incorporated
CVX,Chevron Corporation
PG,The Procter & Gamble Company
CSCO,"Cisco Systems, Inc."
IBM,International Business Machines Corporation
MSFT,Microsoft Corporation
CAT,Caterpillar Inc.
JPM,JPMorgan Chase & Co.
HD,"The Home Depot, Inc."
WBA,"Walgreens Boots Alliance, Inc."
BA,The Boeing Company
AAPL,Apple Inc.
V,Visa Inc.
XOM,Exxon Mobil Corporation
AXP,American Express Company
DOW,Dow Inc.
