symbol,name
JNJ,Johnson & Johnson
TRV,"The Travelers Companies, Inc."
NKE,"NIKE, Inc."
MMM,3M Company
UTX,United Technologies Corporation
MRK,"Merck & Co., Inc."
DIS,The Walt Disney Company
MCD,McDonald's Corporation
INTC,Intel Corporation
WMT,Walmart Inc.
GS,"The Goldman Sachs Group, Inc."
KO,The Coca-Cola Company
PFE,Pfizer Inc.
VZ,Verizon Communications Inc.
UNH,UnitedHealth Group Incorporated
CVX,Chevron Corporation
PG,The Procter & Gamble Company
CSCO,"Cisco Systems, Inc."
IBM,International Business Machines Corporation
MSFT,Microsoft Corporation
CAT,Caterpillar Inc.
JPM,JPMorgan Chase & Co.
HD,"The Home Depot, Inc."
WBA,"Walgreens Boots Alliance, Inc."
BA,The Boeing Company
AAPL,Apple Inc.
V,Visa Inc.
XOM,Exxon Mobil Corporation
AXP,American Express Company
DOW,Dow Inc.
