symbol,name
E5H.SI,Golden Agri-Resources Ltd
F34.SI,Wilmar International Limited
BN4.SI,Keppel Corporation Limited
S58.SI,SATS Ltd.
C6L.SI,Singapore Airlines Limited
S63.SI,Singapore Technologies Engineering Ltd
Z74.SI,Singapore Telecommunications Limited
C09.SI,City Developments Limited
J37.SI,Jardine Strategic Holdings Limited
Y92.SI,Thai Beverage Public Company Limited
U14.SI,UOL Group Limited
H78.SI,Hongkong Land Holdings Limited
C52.SI,ComfortDelGro Corporation Limited
U96.SI,Sembcorp Industries Ltd
T39.SI,Singapore Press Holdings Limited
C61U.SI,CapitaLand Commercial Trust
J36.SI,Jardine Matheson Holdings Limited
G13.SI,Genting Singapore Limited
S68.SI,Singapore Exchange Limited
D05.SI,DBS Group Holdings Ltd
N2IU.SI,Mapletree Commercial Trust
C31.SI,CapitaLand Limited
O39.SI,Oversea-Chinese Banking Corporation Limited
A17U.SI,Ascendas Real Estate Investment Trust
C38U.SI,CapitaLand Mall Trust
D01.SI,Dairy Farm International Holdings Limited
U11.SI,United Overseas Bank Limited
BS6.SI,Yangzijiang Shipbuilding (Holdings) Ltd.
C07.SI,Jardine Cycle & Carriage Limited
V03.SI,Venture Corporation Limited
